0|0||1
0|5||5
0|6||5
0|8||5
0|9|2408010103256|5
0|5|2408010103256|5
0|6|2408010103256|5
0|8|2408010103256|5
0|9|2408010103256|5
0|0||1
0|1||1
0|2||1
0|3||1
0|0||3
0|5|2408010103256|3
0|0||3
0|1||4
0|2||2
0|3||4
0|5|2408010103256|5
0|0||3
0|5|2408010103156|4
0|0||2
0|5|2408010103156|3
0|5|2408010103156|3
0|5|2408010103256|3
0|0||5
0|5|2408010103256|1
0|0||4
0|5|2408010103256|2
0|2||3
0|2||4
0|3||3
0|5|2408010103156|3
0|6|2408010103156|2
0|2||3
0|0||4
0|1||3
0|2||2
0|5|2408010103256|3
0|6|2408010103256|4
0|8|2408010103256|3
0|9|2408010103256|2
